idx,p10_mean,p50_mean,p90_mean,p10_dev,p50_dev,p90_dev
1a,n/a,109880.0,n/a,n/a,8.096638534327413,n/a
1b,n/a,103970.22222222222,n/a,n/a,6.214280646270917,n/a
2,n/a,17666.666666666668,n/a,n/a,942.8090415820633,n/a
3a,n/a,0.0019999674444444444,n/a,n/a,0.0005423896246211678,n/a
3b,n/a,1.0066955555555557e-06,n/a,n/a,1.4252618568850281e-06,n/a
3c,n/a,0.001600681111111111,n/a,n/a,0.0004961251058272488,n/a
3d,n/a,0.00032009401111111115,n/a,n/a,0.0003485946279060487,n/a
4a,n/a,1.7895e-06,n/a,n/a,4.061360060647446e-06,n/a
4b,n/a,0.0,n/a,n/a,0.0,n/a
4c,n/a,0.00039499966666666663,n/a,n/a,0.00025518252571792173,n/a
4d,n/a,9.051329561555556e-06,n/a,n/a,1.2325226707772248e-05,n/a
5,n/a,33933.333333333336,n/a,n/a,13798.872739788889,n/a
6,n/a,None,n/a,n/a,None,n/a
