x,y,saturation,concentration
0.005,0.005,0,3.76329e-23
0.015,0.005,0,3.69181e-21
0.025,0.005,0,2.55369e-19
0.035,0.005,0,1.23962e-17
0.045,0.005,0,3.72263e-16
0.055,0.005,0,1.79655e-15
0.065,0.005,0,8.57293e-14
0.075,0.005,0,2.74596e-12
0.085,0.005,0,6.90285e-11
0.095,0.005,0,1.30118e-09
0.105,0.005,0,1.60937e-08
0.115,0.005,0,7.29711e-08
0.125,0.005,0,1.34952e-06
0.135,0.005,0,1.65272e-05
0.145,0.005,0,0.00015158
0.155,0.005,0,0.000982313
0.165,0.005,0,0.00423039
0.175,0.005,0,0.0137363
0.185,0.005,0,0.0558937
0.195,0.005,0,0.132719
0.205,0.005,0,0.23546
0.215,0.005,0,0.349518
0.225,0.005,0,0.4615
0.235,0.005,0,0.562949
0.245,0.005,0,0.652153
0.255,0.005,0,0.706669
0.265,0.005,0,0.750007
0.275,0.005,0,0.784782
0.285,0.005,0,0.81325
0.295,0.005,0,0.838268
0.305,0.005,0,0.861483
0.315,0.005,0,0.877465
0.325,0.005,0,0.891205
0.335,0.005,0,0.902912
0.345,0.005,0,0.912767
0.355,0.005,0,0.9213
0.365,0.005,0,0.928425
0.375,0.005,0,0.932656
0.385,0.005,0,0.935553
0.395,0.005,0,0.937142
0.405,0.005,0,0.937429
0.415,0.005,0,0.93618
0.425,0.005,0,0.932571
0.435,0.005,0,0.927604
0.445,0.005,0,0.921389
0.455,0.005,0,0.915875
0.465,0.005,0,0.91593
0.475,0.005,0,0.936734
0.485,0.005,0,1.02255
0.495,0.005,0,1.12415
0.505,0.005,0,1.21169
0.515,0.005,0,1.27667
0.525,0.005,0,1.31834
0.535,0.005,0,1.34614
0.545,0.005,0,1.36835
0.555,0.005,0,1.38452
0.565,0.005,0,1.3984
0.575,0.005,0,1.41021
0.585,0.005,0,1.42023
0.595,0.005,0,1.42959
0.605,0.005,0,1.43761
0.615,0.005,0,1.44341
0.625,0.005,0,1.44827
0.635,0.005,0,1.45226
0.645,0.005,0,1.45543
0.655,0.005,0,1.45796
0.665,0.005,0,1.4594
0.675,0.005,0,1.45982
0.685,0.005,0,1.45949
0.695,0.005,0,1.45842
0.705,0.005,0,1.45659
0.715,0.005,0,1.45353
0.725,0.005,0,1.44943
0.735,0.005,0,1.44512
0.745,0.005,0,1.4403
0.755,0.005,0,1.4351
0.765,0.005,0,1.42967
0.775,0.005,0,1.42383
