t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
600,109855,103955,1.09406e-05,0,1.52474e-05,2.5632e-07,0,0,3.58109e-33,3.54259e-33,8.93799e-05,0.000204104
1200,109860,103958,8.13289e-05,0,0.000107191,2.89228e-06,0,0,1.26946e-28,1.25275e-28,0.0011552,0.000408449
1800,109869,103964,0.000160668,6.22744e-07,0.00021052,1.01631e-05,0,0,7.26756e-27,7.05334e-27,0.00125486,0.000612801
2400,109866,103962,0.000264317,1.3235e-06,0.000287151,1.90061e-05,0,0,4.47431e-25,4.07985e-25,0.0013099,0.000817361
3000,109866,103964,0.00037363,3.4388e-07,0.000357995,2.52057e-05,0,0,1.56954e-23,1.24526e-23,0.00195621,0.00102195
3600,109858,103958,0.000488979,2.81136e-06,0.000414866,3.19095e-05,0,0,4.15844e-22,2.61098e-22,0.00421251,0.00122665
4200,109863,103962,0.000615736,1.25509e-07,0.000465779,3.6017e-05,0,0,7.16479e-21,3.27748e-21,0.0123152,0.00143139
4800,109858,103958,0.000728372,3.16641e-06,0.000519736,3.81972e-05,0,0,7.77573e-20,2.51695e-20,0.0261553,0.00163607
5400,109864,103963,0.000855739,1.76595e-07,0.000566073,3.96071e-05,0,0,5.40479e-19,1.13084e-19,0.055198,0.00184083
6000,109858,103958,0.000986004,1.91335e-06,0.000583629,4.17794e-05,0,0,4.11213e-18,5.10043e-19,0.101996,0.00204575
6600,109866,103964,0.00105868,1.06864e-05,0.000664915,4.22594e-05,0,0,1.16448e-17,1.08255e-18,0.14614,0.0022502
7200,109865,103964,0.00122502,0,0.000669549,4.50614e-05,0,0,5.54931e-17,2.95657e-18,0.252213,0.0024553
7800,109858,103958,0.00130742,4.9675e-06,0.000715585,4.55297e-05,0,0,1.52936e-16,5.68385e-18,0.331467,0.00265992
8400,109866,103964,0.00142973,0,0.000756945,4.65645e-05,0,0,3.94961e-16,1.01721e-17,0.471202,0.00296517
9000,109872,103970,0.00157467,0,0.000768364,5.03199e-05,0,0,1.12644e-15,1.86924e-17,0.634843,0.00336698
9600,109864,103963,0.00163344,7.50392e-06,0.000823787,5.07137e-05,0,0,2.34609e-15,2.83321e-17,0.767153,0.0037685
10200,109868,103967,0.0017585,2.00783e-07,0.000858041,5.18973e-05,0,0,9.08923e-15,4.19301e-17,0.848326,0.00417013
10800,109871,103969,0.00190943,0,0.000860535,5.48282e-05,0,0,1.01489e-13,6.12688e-17,0.970825,0.0045721
11400,109866,103965,0.00196585,8.22023e-06,0.00091701,5.52216e-05,0,0,4.91202e-13,7.96987e-17,1.22571,0.00497354
12000,109873,103966,0.00208129,0,0.000946651,5.6168e-05,0,0,3.71416e-12,1.03742e-16,1.33674,0.0053756
12600,109883,103968,0.00223068,0,0.000949284,5.90576e-05,0,0,3.72902e-11,1.31989e-16,1.38036,0.005778
